,Model,Intercept_CO2,TIME_CO2,TIME_CO2_pvalue,Intercept_CH4,TIME_CH4,TIME_CH4_pvalue,Date,TimeLog,JarID,Time,T.Air,A.Pressure,Volume,Area,STAGE_1,STAGE_2,STAGE_3,PRE_WET,two_min,one_hour,four_hour,eight_hour,tweny_four_hour
72,17-July-2024 (Day 2)/TG10-01136-2024-07-17T121700_32,-29415.03311,0.681677252,4.41461073240398e-74,1036.047106,0.021526961,3.89282526145787e-30,7/17/24,121700,32,12H 17M 0S,30.69,766.5,160,27.8,20,NA,NA,NA,NA,NA,NA,NA,NA
73,17-July-2024 (Day 2)/TG10-01136-2024-07-17T122300_33,-29791.50237,0.684487285,3.48716442840518e-76,1461.883223,0.011720431,3.71130170484307e-34,7/17/24,122300,33,12H 23M 0S,30.69,766.5,160,27.8,20,NA,NA,NA,NA,NA,NA,NA,NA
74,17-July-2024 (Day 2)/TG10-01136-2024-07-17T122800_34,-32793.35957,0.744769462,2.11994219044356e-73,820.9434132,0.025644628,6.40616864468139e-37,7/17/24,122800,34,12H 28M 0S,30.69,766.5,160,27.8,20,NA,NA,NA,NA,NA,NA,NA,NA
75,17-July-2024 (Day 2)/TG10-01136-2024-07-17T123400_35,-36243.41361,0.815470458,4.36152341506894e-72,682.4380164,0.028481303,1.09477208896006e-33,7/17/24,123400,35,12H 34M 0S,30.69,766.5,160,27.8,20,NA,NA,NA,NA,NA,NA,NA,NA
76,17-July-2024 (Day 2)/TG10-01136-2024-07-17T123900_36,-29141.19856,0.653738254,2.16089716773412e-72,1126.405559,0.018467145,7.54475424692959e-32,7/17/24,123900,36,12H 39M 0S,30.69,766.5,160,27.8,20,NA,NA,NA,NA,NA,NA,NA,NA
77,17-July-2024 (Day 2)/TG10-01136-2024-07-17T124500_82,-1003.879121,0.034675152,4.17975740799146e-42,1776.735829,0.003967281,2.28145160408778e-21,7/17/24,124500,82,12H 45M 0S,30.69,766.5,160,27.8,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
78,17-July-2024 (Day 2)/TG10-01136-2024-07-17T125000_83,-344.7549194,0.02047923,2.08976882168756e-38,1802.170319,0.003466603,8.22735364617178e-22,7/17/24,125000,83,12H 50M 0S,30.69,766.5,160,27.8,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
79,17-July-2024 (Day 2)/TG10-01136-2024-07-17T125600_84,-453.4055442,0.021875749,3.51098303771798e-23,1784.367354,0.00368656,2.73612846030639e-17,7/17/24,125600,84,12H 56M 0S,30.69,766.5,160,27.8,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
80,17-July-2024 (Day 2)/TG10-01136-2024-07-17T130400_85,-298.0435823,0.018177036,2.31159620190671e-18,1819.056479,0.00286804,2.35202656000667e-12,7/17/24,130400,85,13H 4M 0S,30.69,766.5,160,27.8,BLANK,NA,NA,NA,NA,NA,NA,NA,NA
81,20-July-2024 (Day 5)/TG10-01136-2024-07-20T102800_01,-10945.74099,0.302778214,2.33620597411473e-129,1983.033847,0.000387878,0.233205897,7/20/24,102800,01,10H 28M 0S,30.88,767.2,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
82,20-July-2024 (Day 5)/TG10-01136-2024-07-20T103400_02,-25527.81178,0.682831783,2.92503590215326e-131,-171.9180112,0.055866083,1.33946298120788e-111,7/20/24,103400,02,10H 34M 0S,30.88,767.2,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
83,20-July-2024 (Day 5)/TG10-01136-2024-07-20T104000_03,-12900.62113,0.347821744,5.52040975619691e-156,1213.472757,0.019283725,1.25216112276403e-98,7/20/24,104000,03,10H 40M 0S,30.88,767.2,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
84,20-July-2024 (Day 5)/TG10-01136-2024-07-20T104600_04,-18092.25394,0.479204008,1.79948813637378e-150,1274.607518,0.017552087,1.76831684562902e-77,7/20/24,104600,04,10H 46M 0S,30.88,767.2,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
85,20-July-2024 (Day 5)/TG10-01136-2024-07-20T105600_05,-17618.38924,0.459877857,5.18982771843866e-155,1907.44567,0.001231012,0.000692462,7/20/24,105600,05,10H 56M 0S,30.88,767.2,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
86,20-July-2024 (Day 5)/TG10-01136-2024-07-20T110100_06,-18262.09603,0.472620539,1.0090859865193e-150,1902.716929,0.001427826,1.24552939011219e-05,7/20/24,110100,06,11H 1M 0S,30.88,767.2,160,27.8,NA,25-90,NA,NA,NA,NA,NA,NA,NA
87,20-July-2024 (Day 5)/TG10-01136-2024-07-20T110800_07,-44733.6064,1.128895761,8.00775873392043e-115,612.9266325,0.03385079,2.04202737187532e-72,7/20/24,110800,07,11H 8M 0S,30.88,767.2,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
88,20-July-2024 (Day 5)/TG10-01136-2024-07-20T111300_08,-58893.93555,1.471423672,4.55986229413521e-116,911.8390445,0.026237208,8.92744543588694e-67,7/20/24,111300,08,11H 13M 0S,30.88,767.2,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
89,20-July-2024 (Day 5)/TG10-01136-2024-07-20T112300_09,-38127.46762,0.941479821,2.92980035173129e-129,1696.020757,0.007005528,3.44575908563901e-42,7/20/24,112300,09,11H 23M 0S,30.88,767.2,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
90,20-July-2024 (Day 5)/TG10-01136-2024-07-20T112900_10,-46934.289,1.148218286,3.46772369806196e-121,831.8189261,0.02763678,2.29986070864266e-75,7/20/24,112900,10,11H 29M 0S,30.88,767.2,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
91,20-July-2024 (Day 5)/TG10-01136-2024-07-20T113300_11,-43961.35918,1.068820878,1.00206266621203e-115,880.5018536,0.026071522,7.64550232484817e-73,7/20/24,113300,11,11H 33M 0S,30.88,767.2,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
92,20-July-2024 (Day 5)/TG10-01136-2024-07-20T113900_12,-53289.259,1.283426755,1.35407350720505e-109,854.0016029,0.026486893,2.6911827941751e-63,7/20/24,113900,12,11H 39M 0S,30.88,767.2,160,27.8,NA,25-50,NA,NA,NA,NA,NA,NA,NA
93,20-July-2024 (Day 5)/TG10-01136-2024-07-20T114500_13,-14439.11194,0.353449083,1.80395785140514e-83,727.7842304,0.029279957,3.92180796024452e-65,7/20/24,114500,13,11H 45M 0S,30.88,767.2,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
94,20-July-2024 (Day 5)/TG10-01136-2024-07-20T114900_14,-12506.45082,0.305732411,2.1113265575318e-90,-41.25388608,0.049202501,1.10154056044788e-41,7/20/24,114900,14,11H 49M 0S,30.88,767.2,160,27.8,NA,25-20,NA,NA,NA,NA,NA,NA,NA
